,Unnamed: 0,customer_email,transaction_id,order_id,payment_method_id,payment_method_registration_failure,payment_method_type,payment_method_provider,transaction_amount,transaction_failed,order_state
2,2,evansjeffery@yahoo.com,5mi94sfw,nlghpa,41ug157xz,0,bitcoin,American Express,45,0,fulfilled
3,3,evansjeffery@yahoo.com,br8ba1nu,uw0eeb,41ug157xz,0,bitcoin,American Express,23,0,fulfilled
4,4,evansjeffery@yahoo.com,a33145ss,bn44oh,y3xp697jx,1,bitcoin,VISA 16 digit,43,1,fulfilled
13,13,uchen@malone.com,q8j3dgni,56h7iw,olr4zf09x,0,card,VISA 13 digit,71,0,fulfilled
14,14,uchen@malone.com,xjulqy8x,kowj1v,gehl28i8u,0,card,JCB 16 digit,66,1,fulfilled
15,15,uchen@malone.com,rvm65vr1,wlznfu,gehl28i8u,0,card,JCB 16 digit,69,0,failed
16,16,uchen@malone.com,kckrvagp,hm3rth,76bw9eqg2,0,apple pay,VISA 16 digit,46,1,fulfilled
17,17,uchen@malone.com,2slep8t9,vvq05w,s6escw45g,0,card,JCB 16 digit,68,0,fulfilled
18,18,uchen@malone.com,yd80pfko,xwo0al,76bw9eqg2,0,apple pay,VISA 16 digit,59,0,fulfilled
19,19,uchen@malone.com,ckk3ux58,2528x8,w1i1zq3rg,0,apple pay,American Express,32,0,fulfilled
20,20,robinsoncynthia@dunn.com,67qcpl0r,vq7j5b,n5fj5bc0e,0,card,VISA 16 digit,25,0,pending
21,21,samuel15@saunders-rhodes.com,9jutaun8,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,1,fulfilled
22,22,samuel15@saunders-rhodes.com,lla8uo92,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,0,fulfilled
23,23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled
24,24,johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled
25,25,johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed
26,26,johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled
27,27,johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled
28,28,johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled
34,34,bowenwilliam@yahoo.com,fkxbbt2y,a0dh26,4nt3vg6nr,0,card,Discover,40,0,fulfilled
35,35,bowenwilliam@yahoo.com,i2xemksa,a0dh26,4nt3vg6nr,0,card,Discover,40,1,fulfilled
36,36,bowenwilliam@yahoo.com,ud4zmsnq,izik2o,4nt3vg6nr,0,card,Discover,18,0,pending
37,37,bowenwilliam@yahoo.com,wnlc7kcq,2sumqh,4nt3vg6nr,0,card,Discover,46,0,failed
38,38,bowenwilliam@yahoo.com,uqgebkxo,kcmymd,4nt3vg6nr,0,card,Discover,12,0,fulfilled
39,39,bowenwilliam@yahoo.com,9u7gmxy2,mocbj3,4nt3vg6nr,0,card,Discover,11,1,fulfilled
60,60,gonzalesjackson@gmail.com,zcnztn97,s7dg4a,7964l78jo,0,apple pay,VISA 16 digit,50,0,fulfilled
61,61,gonzalesjackson@gmail.com,zx8st0gu,jlzkil,7964l78jo,0,apple pay,VISA 16 digit,41,0,fulfilled
