,Unnamed: 0,customer_email,transaction_id,order_id,payment_method_id,payment_method_registration_failure,payment_method_type,payment_method_provider,transaction_amount,transaction_failed,order_state
0,0,josephhoward@yahoo.com,a9lcj51r,vjbdvd,wt07xm68b,1,card,JCB 16 digit,18,0,pending
1,1,josephhoward@yahoo.com,y4wcv03i,yp6x27,wt07xm68b,1,card,JCB 16 digit,26,0,fulfilled
5,5,andersonwilliam@yahoo.com,q3lyvbza,yk34y2,8pneoi03z,0,card,JCB 16 digit,33,0,failed
6,6,andersonwilliam@yahoo.com,3alf9irw,28v6b0,8pneoi03z,0,card,JCB 16 digit,24,1,fulfilled
7,7,andersonwilliam@yahoo.com,69w9wymx,28v6b0,8pneoi03z,0,card,JCB 16 digit,24,0,fulfilled
8,8,andersonwilliam@yahoo.com,pegqc4ud,itnk8y,dluy3jka0,0,card,Discover,25,1,fulfilled
9,9,andersonwilliam@yahoo.com,uo3slwh7,itnk8y,8pneoi03z,0,card,JCB 16 digit,25,0,fulfilled
10,10,rubenjuarez@yahoo.com,vx4cjc27,fbz9ep,pdxjdwui4,0,card,Voyager,34,0,fulfilled
11,11,rubenjuarez@yahoo.com,yiay9b0n,7odnn6,pdxjdwui4,0,card,Voyager,26,0,fulfilled
12,12,rubenjuarez@yahoo.com,sn3v0ql2,audx7o,pdxjdwui4,0,card,Voyager,25,0,fulfilled
29,29,jameslandry@rodriguez.com,idd9amrw,mtg9kj,yk3gx9knx,0,card,Discover,25,0,fulfilled
30,30,jameslandry@rodriguez.com,2ta3i8e2,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending
31,31,jameslandry@rodriguez.com,8pssnrcy,1b71xd,yk3gx9knx,0,card,Discover,21,0,pending
32,32,jameslandry@rodriguez.com,ksmxqqg3,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending
33,33,jameslandry@rodriguez.com,sihnojhc,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending
40,40,ksummers@hotmail.com,46ijodjq,ji75jj,14t4urgqg,0,card,Discover,12,0,fulfilled
41,41,ksummers@hotmail.com,xo1gdp22,5lyh0x,anpl44kz2,0,card,American Express,30,0,fulfilled
42,42,ksummers@hotmail.com,33jfoo59,ha14ey,14t4urgqg,0,card,Discover,49,1,fulfilled
43,43,ksummers@hotmail.com,i8bk4lna,ha14ey,ahnb9wv33,0,card,VISA 13 digit,49,0,fulfilled
44,44,ksummers@hotmail.com,7p73brx2,ni3keo,ahnb9wv33,0,card,VISA 13 digit,45,1,fulfilled
45,45,ksummers@hotmail.com,i8zlhilq,vvo42o,12sooz8hm,0,bitcoin,Maestro,28,0,fulfilled
46,46,ksummers@hotmail.com,zwl18ddd,vvo42o,ahnb9wv33,0,card,VISA 13 digit,28,1,fulfilled
47,47,christineklein@wright-boyd.org,fgobyd98,abc26t,9pfrhknoz,0,bitcoin,VISA 16 digit,10,0,fulfilled
48,48,christineklein@wright-boyd.org,c4fephmj,bdzhkd,ow9u8ogs4,0,card,VISA 16 digit,45,0,pending
49,49,christineklein@wright-boyd.org,07hkhmmf,l8smyt,ow9u8ogs4,0,card,VISA 16 digit,46,0,fulfilled
50,50,christineklein@wright-boyd.org,jz6qu6zy,0esxhp,ow9u8ogs4,0,card,VISA 16 digit,16,0,fulfilled
51,51,meganwalters@chavez.com,bhil44kr,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,1,fulfilled
52,52,meganwalters@chavez.com,nw0a0y9s,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,0,fulfilled
53,53,meganwalters@chavez.com,enl54gvp,2p3zor,o2ct2h9fp,0,card,Mastercard,34,1,fulfilled
